id,code,label
C21097960,C10108,Trade and commerce
C21097961,C10055,Litigation
C21097961,C10056,Manors
C21097962,C10055,Litigation
C21097962,C10025,Debt
C21097963,C10055,Litigation
C21097964,C10055,Litigation
C21097965,C10059,Marriage and divorce
C21097965,C10055,Litigation
C21097965,C10116,Wills and probate
C21097966,C10055,Litigation
C21097966,C10107,Tithes
C21097967,C10055,Litigation
C21097967,C10116,Wills and probate
C21097968,C10023,Crime
C21097968,C10111,Treason and rebellion
C21097968,C10055,Litigation
C21097969,C10055,Litigation
C21097969,C10056,Manors
C21097970,C10055,Litigation
C21097970,C10025,Debt
C21097971,C10055,Litigation
C21097972,C10055,Litigation
C21097973,C10055,Litigation
C21097973,C10108,Trade and commerce
C21097973,C10107,Tithes
C21097974,C10055,Litigation
C21097974,C10056,Manors
C21097975,C10055,Litigation
C21097975,C10036,Farming
C21097976,C10055,Litigation
C21097976,C10036,Farming
C21097976,C10116,Wills and probate
C21097977,C10055,Litigation
C21097977,C10116,Wills and probate
C21097978,C10055,Litigation
C21097978,C10025,Debt
C21097979,C10055,Litigation
C21097979,C10056,Manors
C21097980,C10055,Litigation
C21097981,C10055,Litigation
C21097981,C10025,Debt
C21097981,C10036,Farming
C21097982,C10055,Litigation
C21097982,C10012,Children
C21097983,C10055,Litigation
C21097983,C10007,Banking
C21097983,C10022,Conveyancing
C21097984,C10055,Litigation
C21097985,C10055,Litigation
C21097986,C10059,Marriage and divorce
C21097986,C10055,Litigation
C21097987,C10055,Litigation
C21097988,C10039,Food and drink
C21097988,C10055,Litigation
C21097989,C10055,Litigation
C21097990,C10059,Marriage and divorce
C21097990,C10055,Litigation
C21097990,C10056,Manors
C21097990,C10012,Children
C21097991,C10055,Litigation
C21097991,C10108,Trade and commerce
C21097991,C10025,Debt
C21097992,C10055,Litigation
C21097993,C10055,Litigation
C21097993,C10056,Manors
C21097994,C10055,Litigation
C21097994,C10056,Manors
C21097995,C10055,Litigation
C21097995,C10056,Manors
C21097996,C10055,Litigation
C21097996,C10056,Manors
C21097996,C10116,Wills and probate
C21097997,C10055,Litigation
C21097998,C10055,Litigation
C21097999,C10055,Litigation
C21097999,C10056,Manors
C21098000,C10055,Litigation
C21098001,C10055,Litigation
C21098001,C10056,Manors
C21098002,C10055,Litigation
C21098003,C10055,Litigation
C21098003,C10025,Debt
C21098003,C10056,Manors
C21098004,C10055,Litigation
C21098005,C10055,Litigation
C21098006,C10055,Litigation
C21098007,C10055,Litigation
C21098008,C10055,Litigation
C21098008,C10056,Manors
C21098009,C10055,Litigation
C21098009,C10056,Manors
C21098010,C10055,Litigation
C21098010,C10025,Debt
C21098011,C10055,Litigation
C21098012,C10055,Litigation
C21098012,C10056,Manors
C21098013,C10055,Litigation
C21098014,C10055,Litigation
C21098015,C10055,Litigation
C21098016,C10055,Litigation
C21098017,C10055,Litigation
C21098018,C10055,Litigation
C21098019,C10055,Litigation
C21098020,C10023,Crime
C21098020,C10055,Litigation
C21098021,C10055,Litigation
C21098022,C10055,Litigation
C21098023,C10055,Litigation
C21098024,C10055,Litigation
C21098024,C10056,Manors
C21098025,C10055,Litigation
C21098025,C10056,Manors
C21098026,C10055,Litigation
C21098027,C10055,Litigation
C21098027,C10056,Manors
C21098028,C10055,Litigation
C21098029,C10055,Litigation
C21098029,C10036,Farming
C21098030,C10055,Litigation
C21098031,C10055,Litigation
C21098032,C10055,Litigation
C21098033,C10055,Litigation
C21098034,C10055,Litigation
C21098035,C10059,Marriage and divorce
C21098035,C10055,Litigation
C21098036,C10055,Litigation
C21098036,C10025,Debt
C21098037,C10055,Litigation
C21098037,C10025,Debt
C21098038,C10055,Litigation
C21098039,C10055,Litigation
C21098040,C10055,Litigation
C21098041,C10055,Litigation
C21098042,C10055,Litigation
C21098042,C10108,Trade and commerce
C21098043,C10055,Litigation
C21098044,C10055,Litigation
C21098045,C10055,Litigation
C21098046,C10055,Litigation
C21098047,C10055,Litigation
C21098047,C10025,Debt
