burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
11118,0.5.0,0,5,0,60
11119,0.1.6,0,1,6,18
11120,0.5.0,0,5,0,60
11121,0.3.0,0,3,0,36
11122,2.15.0,2,15,0,660
11123,1.16.0,1,16,0,432
11124,0.1.6,0,1,6,18
11125,2.3.0,2,3,0,516
11126,0.1.6,0,1,6,18
11127,0.5.0,0,5,0,60
11128,0.9.0,0,9,0,108
11129,0.5.0,0,5,0,60
11130,0.3.0,0,3,0,36
11131,2.3.0,2,3,0,516
11132,0.9.0,0,9,0,108
11133,0.5.0,0,5,0,60
11134,0.9.0,0,9,0,108
11135,0.9.0,0,9,0,108
11136,2.3.0,2,3,0,516
11137,0.5.0,0,5,0,60
11138,0.9.0,0,9,0,108
11139,0.9.0,0,9,0,108
11140,0.3.0,0,3,0,36
11141,0.1.6,0,1,6,18
11142,0.3.0,0,3,0,36
11143,0.12.0,0,12,0,144
11144,0.3.0,0,3,0,36
11145,0.9.0,0,9,0,108
11146,0.9.0,0,9,0,108
11147,0.1.6,0,1,6,18
11148,0.5.0,0,5,0,60
11149,0.5.0,0,5,0,60
11150,2.3.0,2,3,0,516
11151,0.1.6,0,1,6,18
11152,0.3.0,0,3,0,36
11153,1.4.0,1,4,0,288
11154,0.3.0,0,3,0,36
11155,0.5.0,0,5,0,60
11156,1.1.0,1,1,0,252
11157,1.1.0,1,1,0,252
11158,1.1.0,1,1,0,252
11159,0.3.0,0,3,0,36
11160,0.5.0,0,5,0,60
11161,0.3.0,0,3,0,36
11162,2.3.0,2,3,0,516
11163,0.1.6,0,1,6,18
11164,0.3.0,0,3,0,36
11165,0.5.0,0,5,0,60
11166,0.5.0,0,5,0,60
11167,0.9.0,0,9,0,108
11168,6.0.0,6,0,0,1440
11169,2.12.6,2,12,6,630
11170,1.4.0,1,4,0,288
11171,1.1.0,1,1,0,252
11172,1.4.0,1,4,0,288
11173,0.9.0,0,9,0,108
11174,0.5.0,0,5,0,60
11175,0.9.0,0,9,0,108
11176,0.1.6,0,1,6,18
11177,1.16.0,1,16,0,432
11178,1.11.0,1,11,0,372
11179,2.3.0,2,3,0,516
11180,0.9.0,0,9,0,108
11181,0.9.0,0,9,0,108
11182,0.5.0,0,5,0,60
11183,0.1.6,0,1,6,18
11184,2.3.0,2,3,0,516
11185,0.1.6,0,1,6,18
11186,0.9.0,0,9,0,108
11187,0.5.0,0,5,0,60
11188,0.5.0,0,5,0,60
11189,0.5.0,0,5,0,60
11190,0.1.6,0,1,6,18
11191,0.12.0,0,12,0,144
11192,0.1.6,0,1,6,18
11193,1.16.0,1,16,0,432
11194,0.9.0,0,9,0,108
11195,0.9.0,0,9,0,108
11196,0.9.0,0,9,0,108
11197,0.5.0,0,5,0,60
11198,0.1.6,0,1,6,18
11199,4.6.0,4,6,0,1032
11200,0.3.0,0,3,0,36
11201,0.9.0,0,9,0,108
11202,0.1.6,0,1,6,18
11203,1.4.0,1,4,0,288
11204,0.1.6,0,1,6,18
11205,1.4.0,1,4,0,288
11206,0.5.0,0,5,0,60
11207,1.11.0,1,11,0,372
11208,0.9.0,0,9,0,108
11209,0.9.0,0,9,0,108
11210,0.5.0,0,5,0,60
11211,0.5.0,0,5,0,60
11212,0.5.0,0,5,0,60
11213,0.5.0,0,5,0,60
11214,0.3.0,0,3,0,36
11215,0.9.0,0,9,0,108
11216,0.1.6,0,1,6,18
11217,0.5.0,0,5,0,60
11218,0.5.0,0,5,0,60
11219,0.1.6,0,1,6,18
11220,0.11.6,0,11,6,138
11221,2.3.0,2,3,0,516
11222,1.16.0,1,16,0,432
11223,0.5.0,0,5,0,60
11224,0.5.0,0,5,0,60
11225,0.5.0,0,5,0,60
11226,0.5.0,0,5,0,60
11227,0.1.6,0,1,6,18
11228,1.16.0,1,16,0,432
11229,0.1.6,0,1,6,18
11230,1.1.0,1,1,0,252
11231,0.5.0,0,5,0,60
11232,0.1.6,0,1,6,18
11233,0.5.0,0,5,0,60
11234,1.16.0,1,16,0,432
11235,1.13.6,1,13,6,402
